Model Name,Loss,F1 Score,Accuracy,Precision,AUROC,Epochs
model1,0.116961514759964,0.9704470550012642,0.9704166666666667,0.9705946043559944,0.9990041178176223,10
model2,0.1162369744394673,0.9709530584316601,0.971,0.971055742359111,0.999070772808054,10
model3,0.10286552567057272,0.9785275981014138,0.9785,0.9786842640926804,0.9993233126532705,10
model4,0.11262748621173402,0.9761467876590696,0.9761666666666666,0.9762634162668606,0.9991729916412551,10
model5,0.11542260414693009,0.9756840990959229,0.9756666666666667,0.97592870505165,0.9990979270620219,10
model6,0.12619660641942756,0.975490244659708,0.9755,0.9756692311311694,0.9990219018321961,10
