Model Name,Loss,F1 Score,Accuracy,Precision,Recall,AUROC,Epochs
model1,0.09441366415191442,0.9741050103807485,0.9740833333333333,0.9742260689340152,0.9740833333333333,0.9992191691537476,10
model2,0.09630722715565934,0.9709863025650184,0.971,0.970997935672016,0.971,0.9992647076604584,10
model3,0.09721511741506401,0.9739363903575301,0.9738333333333333,0.9744617352730669,0.9738333333333333,0.99927499980792,10
model4,0.09573558857800284,0.9753927151480052,0.9754166666666667,0.9757442543483961,0.9754166666666667,0.9992730689333698,10
model5,0.08871003516340473,0.9770725563378538,0.9770833333333333,0.9771833104451038,0.9770833333333333,0.9992968099282111,10
model6,0.09296984856023725,0.976044029654952,0.9760833333333333,0.9762666451992336,0.9760833333333333,0.9993676563188305,10
